letter	frequency
2418	6440.38
2419	2434.97
2420	2837.72
2421	3462.41
2422	3982.89
2423	4532.94
2424	5272.37
2425	3084.28
2426	8146.14
2427	4331.87
2428	4532.52
2429	4922.79
2430	4184.86
2431	3636.43
2432	3250.67
2433	2958.24
2434	3251.27
2435	2200.84
2436	7770.39
2437	2211.12
2438	6033.00
2439	907.75
2440	3411.77
2441	9660.23
2442	2300.56
2443	7437.23
2444	9050.19
2445	1735.39
2446	4756.42
2447	6937.21
2448	1825.37
2449	2746.91
2450	5779.14
2451	2437.70
2452	2387.46
2453	2237.97
2454	2560.69
2455	1977.41
2456	5603.77
2457	2548.83
2458	910.67
2459	2477.50
2460	5776.48
2461	1685.35
2462	5183.79
2463	3707.31
2464	1196.39
2465	3500.71
2466	2294.21
2467	6709.24
2468	2602.96
2469	2066.73
2470	834.82
2471	2957.81
2472	6153.34
2473	2621.54
2474	3613.74
2475	7209.73
2476	5110.67
2477	5693.42
2478	9432.44
2479	7381.98
2480	2788.32
2481	3433.95
2482	4857.77
2483	5461.72
2484	5604.90
2485	2534.38
2486	4541.60
2487	2961.26
2488	3444.55
2489	5226.56
2490	4523.64
2491	3784.81
2492	3107.46
2493	4138.61
2494	3201.23
2495	3833.83
2496	2983.53
2497	6901.33
2498	5086.74
2499	4351.90
2500	3180.87
2502	4672.20
2503	7176.54
2504	4652.41
2505	3620.26
2506	4862.42
2507	1977.68
2508	4517.86
2509	4483.93
2510	9193.39
2511	4307.30
2512	7071.37
2513	7206.01
2514	1266.39
2515	674.06
2516	7118.33
2517	3197.72
2518	2923.68
2519	2710.21
2520	4241.05
2521	4389.20
2522	10819.50
2523	4160.87
2524	2679.12
2525	3441.73
2526	4962.61
2527	2610.16
2528	3470.39
2529	7132.74
2530	4397.37
2531	4025.34
2532	1422.83
2533	5641.05
2534	4238.46
2535	6014.57
2536	4629.66
2537	2398.54
2538	3834.14
2539	8979.86
2540	2077.07
2541	2178.93
2542	4288.83
2543	3290.80
2544	2776.93
2545	5701.80
2546	4000.54
2547	5705.26
2548	3753.53
2549	5808.79
2550	6813.82
2551	4804.92
2552	3430.13
2553	3389.00
2554	3773.28
2555	5238.26
2556	2790.66
2557	3942.53
2558	6550.55
2559	2642.04
2560	2315.89
2561	4432.95
2562	4890.59
2563	2105.90
2564	6425.71
2565	2863.67
2566	3154.03
2567	2673.99
2568	233.93
2569	4618.73
2570	758.67
2571	8283.99
2572	2216.04
2573	2759.85
2574	1169.41
2575	4907.04
2576	3652.34
2577	2747.51
2578	3992.80
2579	4297.10
2580	4087.16
2581	2913.64
2582	2688.87
2583	3734.30
2584	1603.87
2585	2273.27
2586	1919.25
2587	3172.51
2588	3295.36
2589	4254.51
2590	639.97
2591	5222.07
2592	3809.91
2593	8024.93
2594	2635.27
2595	7224.10
2596	17381.98
2597	783.74
2598	1858.92
2599	6993.39
2600	4385.93
2601	1547.14
2602	4212.88
2604	5192.05
2605	2104.04
2606	2681.41
2607	3552.38
2608	6394.90
2609	2557.47
2610	2054.08
2611	3495.53
2612	3336.55
2613	2552.98
2614	5751.15
2615	3706.42
2616	3899.33
2617	843.86
2618	7052.06
2619	5806.98
2620	7012.42
2621	2869.09
2622	11786.98
2623	6844.84
2624	7416.82
2625	4058.74
2626	8846.38
2627	6061.81
2628	2249.00
2629	3986.75
2630	1721.33
2631	5453.06
2632	10895.96
2633	7130.35
2634	1771.87
2635	3690.05
2636	2576.55
2637	11173.75
2638	9217.25
2639	2794.65
2640	5348.04
2641	6373.98
2642	5766.81
2643	966.28
2644	3422.54
2645	4291.27
2646	7624.80
2647	3668.11
2648	3401.30
2649	7227.19
2650	7658.13
2651	7118.15
2652	2573.01
2653	5490.59
2654	3260.78
2655	3492.37
2656	3977.77
2657	5916.67
2658	3333.00
2659	4899.23
2660	2832.08
2661	6075.35
2662	7772.00
2663	4956.53
2666	5747.33
2667	6210.82
2668	4818.74
2669	6533.94
2670	3554.27
2671	2576.39
2672	6832.46
2673	6749.02
2674	1353.68
2675	5350.88
2676	9453.20
2677	5336.03
2678	3641.60
2679	4979.12
2680	5184.27
2681	1635.79
2682	4522.21
2683	3746.55
2684	3041.97
2685	5591.18
2686	4539.29
2687	2362.36
2688	677.84
2689	2983.99
2690	5647.14
2691	4739.00
2692	12310.14
2693	4725.93
2694	5067.47
2695	4779.65
2696	4184.83
2697	8398.92
2698	3174.29
2700	3150.38
2702	3300.51
2703	1622.99
2704	2269.37
2705	4464.26
2706	3671.69
2707	2234.45
2708	5267.22
2709	3803.44
2710	4085.39
2711	4027.64
2712	4818.33
2713	1220.52
2714	3380.85
2715	4016.35
2716	6984.08
2717	5662.92
2718	3496.82
2719	4784.27
2720	7697.99
2721	5574.48
