letter	frequency
012-2426-2256	1683.08
012-2426-2257	1231.63
012-2426-2258	3335.10
012-2426-2259	3848.89
012-2426-2260	4065.01
012-2426-2261	1876.57
012-2426-2262	6091.72
012-2426-2263	12434.92
012-2426-2264	1528.34
012-2426-2265	6523.83
012-2426-2266	2531.14
012-2426-2267	4550.56
012-2426-2268	3521.58
012-2426-2269	4620.40
012-2426-2270	3825.47
012-2426-2271	3722.28
012-2426-2272	4037.19
012-2426-2273	4509.93
012-2426-2274	2229.10
012-2426-2275	4987.01
012-2426-2276	7392.58
012-2426-2277	4726.28
012-2426-2278	4199.97
012-2426-2279	7629.78
012-2426-2280	1790.72
012-2426-2281	4179.56
012-2426-2282	3847.77
012-2426-2283	804.01
012-2426-2284	2437.57
012-2426-2285	3384.08
012-2426-2286	1357.30
012-2426-2287	2069.14
012-2426-2288	3071.94
012-2426-2289	6195.33
012-2426-2290	1744.58
012-2426-2291	3586.90
012-2426-2292	4415.03
012-2426-2293	2602.54
012-2426-2294	3385.18
012-2426-2295	1996.49
012-2426-2296	6165.44
012-2426-2297	7051.30
012-2426-2298	3391.56
012-2426-2299	5022.40
012-2426-2300	3702.47
012-2426-2301	4519.16
012-2426-2302	5626.52
012-2426-2303	3139.36
012-2426-2304	3913.37
012-2426-2305	4169.04
012-2426-2307	6549.87
012-2426-2308	1217.42
012-2426-2309	3212.02
012-2426-2310	947.73
012-2426-2311	3177.88
012-2426-2312	5242.54
012-2426-2313	2956.14
012-2426-2314	3321.67
012-2426-2315	2585.86
012-2426-2316	5738.77
012-2426-2318	542.92
012-2426-2319	6323.12
012-2426-2320	4986.48
012-2426-2321	2016.68
012-2426-2322	4257.23
012-2426-2323	9010.77
012-2426-2324	3977.92
012-2426-2325	4842.23
012-2426-2326	2536.88
012-2426-2327	1676.23
012-2426-2328	1590.61
012-2426-2330	2786.82
012-2426-2331	6260.28
012-2426-2332	1412.19
012-2426-2333	2474.45
012-2426-2334	2102.03
012-2426-2335	4439.01
012-2426-2336	4439.51
012-2426-2337	3677.23
012-2426-2338	3367.43
012-2426-2339	2356.75
012-2426-2340	4584.65
012-2426-2341	3381.42
012-2426-2342	1204.87
012-2426-2343	3144.10
012-2426-2344	2642.55
012-2426-2345	4215.54
012-2426-2346	3874.93
012-2426-2347	7986.83
012-2426-2348	2185.82
012-2426-2349	1920.32
012-2426-2350	7852.89
012-2426-2351	4169.20
012-2426-2352	3368.03
012-2426-2354	6129.21
012-2426-2355	4866.33
012-2426-2356	2288.84
012-2426-2357	2230.86
012-2426-2358	6074.34
012-2426-2359	5349.05
012-2426-2360	5475.61
012-2426-2361	4423.30
012-2426-2362	2124.33
012-2426-2363	6335.68
012-2426-2364	6247.71
012-2426-2365	4601.01
012-2426-2367	4985.91
012-2426-2368	3858.27
012-2426-2369	2418.29
012-2426-2370	4427.79
012-2426-2371	3526.91
012-2426-2372	1199.82
012-2426-2373	2364.82
012-2426-2374	3990.88
012-2426-2375	11871.91
012-2426-2376	1715.77
012-2426-2377	1201.62
012-2426-2378	5789.09
012-2426-2379	3617.69
