letter	frequency
012-2426-3126	2108.66
012-2426-3127	5068.41
012-2426-3128	3781.37
012-2426-3129	1411.66
012-2426-3130	2380.58
012-2426-3131	3612.54
012-2426-3132	12192.82
012-2426-3133	5797.12
012-2426-3135	1121.89
012-2426-3136	4975.02
012-2426-3137	3202.00
012-2426-3138	4732.14
012-2426-3139	2977.92
012-2426-3140	6488.96
012-2426-3141	3255.67
012-2426-3142	4981.75
012-2426-3143	6461.80
012-2426-3145	5075.54
012-2426-3146	4369.77
012-2426-3147	4804.34
012-2426-3148	5343.68
012-2426-3149	1494.91
012-2426-3150	8779.58
012-2426-3151	2483.18
012-2426-3153	3639.50
012-2426-3154	2005.60
012-2426-3155	51.41
012-2426-3156	5955.42
012-2426-3157	1474.72
012-2426-3158	412.9
012-2426-3159	8748.12
012-2426-3160	5661.29
012-2426-3161	4380.47
012-2426-3162	3891.83
012-2426-3163	3442.75
012-2426-3164	899.37
012-2426-3165	5569.84
012-2426-3166	7297.33
012-2426-3168	3822.99
012-2426-3169	6231.64
012-2426-3170	9572.78
012-2426-3171	2077.95
012-2426-3172	4770.32
012-2426-3173	2456.66
012-2426-3174	2145.37
012-2426-3175	3559.70
012-2426-3176	2191.91
012-2426-3178	3803.85
012-2426-3179	5348.04
012-2426-3180	4653.19
012-2426-3181	1548.82
012-2426-3182	2267.23
012-2426-3183	5038.20
012-2426-3184	5486.94
012-2426-3185	2855.76
012-2426-3186	4524.88
012-2426-3187	3447.75
012-2426-3188	502.14
012-2426-3189	2123.64
012-2426-3190	527.71
012-2426-3192	8862.01
012-2426-3194	10795.52
012-2426-3195	3553.40
012-2426-3196	2777.05
012-2426-3197	3867.78
012-2426-3198	2532.00
012-2426-3199	8822.44
012-2426-3200	1655.63
012-2426-3201	2542.47
012-2426-3202	137.78
012-2426-3203	4670.69
012-2426-3204	1757.29
012-2426-3205	2623.19
012-2426-3206	3820.24
012-2426-3208	1736.38
012-2426-3209	3495.70
012-2426-3210	4737.81
012-2426-3211	3415.27
012-2426-3212	2810.00
012-2426-3213	6976.07
012-2426-3214	2147.86
012-2426-3215	12261.03
012-2426-3216	3453.66
012-2426-3217	3396.60
012-2426-3218	3890.40
012-2426-3219	6051.59
012-2426-3220	1412.26
012-2426-3221	687.91
012-2426-3222	4304.82
012-2426-3223	2103.69
012-2426-3224	283.13
012-2426-3225	1033.03
012-2426-3226	1942.73
012-2426-3227	6587.27
012-2426-3228	2673.37
012-2426-3229	2103.26
012-2426-3231	6019.28
012-2426-3232	2260.87
012-2426-3233	13555.65
012-2426-3234	6627.70
012-2426-3236	1494.96
012-2426-3237	4971.09
012-2426-3238	2642.95
012-2426-3239	4413.02
012-2426-3240	345.15
012-2426-3241	2220.24
012-2426-3242	4126.11
012-2426-3243	10851.48
012-2426-3244	2390.44
012-2426-3245	3261.35
012-2426-3246	2022.47
012-2426-3247	881.86
012-2426-3248	5252.13
012-2426-3249	2235.23
012-2426-3250	460.33
012-2426-3251	846.44
012-2426-3252	6091.55
012-2426-3253	4302.51
012-2426-3254	3009.54
012-2426-3255	2121.83
012-2426-3256	683.77
012-2426-3257	4275.22
012-2426-3258	3788.92
012-2426-3259	172.94
012-2426-3260	5453.16
012-2426-3261	7151.54
012-2426-3262	1872.21
012-2426-3263	4847.58
012-2426-3264	3796.75
012-2426-3265	6448.44
012-2426-3266	2785.38
012-2426-3267	6168.25
012-2426-3268	270.58
012-2426-3269	5401.30
012-2426-3271	2841.64
012-2426-3272	5528.11
012-2426-3273	390.92
012-2426-3274	2229.52
012-2426-3276	4418.74
012-2426-3277	2822.77
012-2426-3278	3071.90
012-2426-3279	1658.08
012-2426-3280	3957.12
012-2426-3281	2354.94
012-2426-3282	329.51
012-2426-3283	1253.74
012-2426-3284	441.08
012-2426-3285	4580.70
012-2426-3286	3188.24
012-2426-3287	2269.60
012-2426-3288	126.82
012-2426-3289	51.6
012-2426-3290	1424.85
012-2426-3291	8230.84
012-2426-3292	3408.07
012-2426-3293	2451.94
012-2426-3294	856.37
012-2426-3295	199.18
012-2426-3296	839.14
012-2426-3297	8003.06
012-2426-3298	1548.34
012-2426-3299	7497.72
012-2426-3300	3537.17
012-2426-3301	2860.16
012-2426-3302	10621.22
012-2426-3303	1773.32
012-2426-3304	3982.32
012-2426-3305	8276.59
012-2426-3306	2977.90
012-2426-3307	5206.03
012-2426-3310	4514.50
012-2426-3311	2895.69
012-2426-3312	2522.22
012-2426-3313	1129.31
012-2426-3314	4700.39
012-2426-3315	2541.24
012-2426-3316	829.38
012-2426-3318	6006.20
012-2426-3319	5559.78
012-2426-3320	495.66
012-2426-3321	4576.18
012-2426-3322	7752.49
012-2426-3323	3755.14
012-2426-3324	4561.02
012-2426-3325	4615.89
012-2426-3326	1426.98
012-2426-3327	4022.74
012-2426-3328	2607.17
012-2426-3329	2634.02
012-2426-3330	3495.78
012-2426-3331	2664.91
012-2426-3333	3166.56
012-2426-3334	3599.92
012-2426-3335	5637.85
012-2426-3336	3936.83
012-2426-3337	9732.64
012-2426-3338	5065.04
012-2426-3339	7948.20
012-2426-3340	724.83
012-2426-3341	3103.13
012-2426-3343	7385.68
012-2426-3344	4488.47
012-2426-3345	1400.11
012-2426-3346	6632.84
012-2426-3347	4061.61
012-2426-3348	1099.58
012-2426-3349	4239.75
012-2426-3350	4668.78
012-2426-3351	4961.16
012-2426-3352	6967.83
012-2426-3353	2490.58
012-2426-3354	2485.81
012-2426-3355	5346.90
012-2426-3356	5735.38
012-2426-3357	525.66
012-2426-3358	5066.99
012-2426-3359	1616.85
012-2426-3360	874.71
012-2426-3361	3427.67
012-2426-3362	6605.51
012-2426-3363	4210.87
012-2426-3365	8069.42
012-2426-3366	295.16
012-2426-3367	3711.26
012-2426-3368	499.4
012-2426-3369	3263.46
012-2426-3370	10149.81
012-2426-3371	256.54
012-2426-3372	4338.92
012-2426-3374	2613.10
012-2426-3375	2784.30
012-2426-3376	2009.80
012-2426-3377	1677.73
012-2426-3378	1454.95
012-2426-3379	5311.06
012-2426-3380	4622.63
012-2426-3382	7816.66
012-2426-3383	2764.16
012-2426-3384	5491.25
012-2426-3385	2135.56
012-2426-3386	1823.50
012-2426-3387	351.33
012-2426-3388	3559.73
012-2426-3389	235.08
012-2426-3390	3752.21
012-2426-3391	6580.62
012-2426-3393	1884.52
012-2426-3394	1148.81
012-2426-3395	5559.26
012-2426-3396	2367.08
012-2426-3397	1503.30
012-2426-3398	2993.79
012-2426-3399	2538.24
012-2426-3400	1840.92
012-2426-3401	1512.28
012-2426-3402	5984.50
012-2426-3403	4674.84
012-2426-3404	3133.44
012-2426-3405	8538.52
012-2426-3406	4170.87
012-2426-3407	13745.67
012-2426-3408	2094.42
012-2426-3409	5146.97
012-2426-3410	11619.94
012-2426-3411	5699.53
012-2426-3412	3274.83
012-2426-3413	3308.19
012-2426-3414	3927.25
012-2426-3415	4727.85
012-2426-3416	5111.53
012-2426-3417	3759.32
012-2426-3418	4045.37
012-2426-3419	1263.56
012-2426-3420	7079.11
012-2426-3421	9488.90
012-2426-3422	3018.91
012-2426-3423	1160.97
012-2426-3425	6571.40
012-2426-3426	754.9
012-2426-3427	2340.14
012-2426-3428	2049.60
012-2426-3429	3007.30
012-2426-3430	959.1
012-2426-3431	3336.87
012-2426-3432	3464.85
012-2426-3433	5353.96
012-2426-3434	3304.72
012-2426-3435	4238.79
012-2426-3436	2788.83
012-2426-3437	2140.47
012-2426-3438	4361.05
012-2426-3439	2893.12
012-2426-3440	1785.66
012-2426-3441	2724.21
012-2426-3442	4179.63
012-2426-3443	3428.06
012-2426-3444	2093.49
012-2426-3445	1122.82
012-2426-3446	2333.32
012-2426-3447	5054.68
012-2426-3448	8536.93
012-2426-3449	1653.93
012-2426-3450	3183.40
012-2426-3451	3621.80
012-2426-3452	2228.67
012-2426-3453	1426.46
012-2426-3454	4381.29
012-2426-3455	1801.08
012-2426-3456	886.81
012-2426-3457	4119.49
012-2426-3458	8103.74
012-2426-3459	9429.10
012-2426-3460	5024.25
012-2426-3461	2461.08
012-2426-3462	3551.38
012-2426-3463	915.13
012-2426-3464	5361.25
012-2426-3465	1694.05
012-2426-3466	2146.56
012-2426-3467	6529.41
012-2426-3468	5762.66
012-2426-3469	4955.72
012-2426-3470	3048.51
012-2426-3471	4117.56
012-2426-3472	4031.41
012-2426-3473	3414.02
012-2426-3474	3746.68
012-2426-3475	6182.98
012-2426-3476	2962.76
012-2426-3477	4264.22
012-2426-3478	4994.61
012-2426-3479	794.59
012-2426-3480	3762.60
012-2426-3482	3188.20
012-2426-3483	2643.73
012-2426-3484	1428.97
012-2426-3485	2481.48
012-2426-3486	1256.50
012-2426-3487	4080.74
012-2426-3488	3285.59
012-2426-3489	8252.57
012-2426-3490	5800.52
012-2426-3491	5093.62
012-2426-3492	5099.51
012-2426-3493	3679.20
012-2426-3494	2783.81
012-2426-3495	4534.36
012-2426-3496	5934.71
012-2426-3497	13810.25
012-2426-3498	5053.08
012-2426-3499	3584.61
012-2426-3500	9365.92
012-2426-3501	3778.41
012-2426-3502	5207.72
012-2426-3503	10840.04
012-2426-3504	5608.60
012-2426-3505	4283.11
012-2426-3506	1198.28
012-2426-3507	1166.91
012-2426-3508	393.05
012-2426-3509	3274.53
012-2426-3510	3029.18
012-2426-3511	2907.58
012-2426-3512	3649.54
012-2426-3513	4496.67
012-2426-3514	5031.58
012-2426-3515	12889.60
012-2426-3516	2572.61
012-2426-3517	3157.05
012-2426-3518	2738.66
012-2426-3519	6789.88
012-2426-3520	1972.74
012-2426-3521	5243.80
012-2426-3522	3782.67
012-2426-3523	1901.62
012-2426-3524	11513.73
012-2426-3525	52.91
012-2426-3526	1487.49
012-2426-3527	2681.38
012-2426-3528	1401.93
012-2426-3529	5509.01
012-2426-3530	5579.65
012-2426-3531	790.55
012-2426-3532	3679.44
012-2426-3533	8848.33
012-2426-3534	4872.41
012-2426-3535	4690.06
012-2426-3536	6046.80
012-2426-3537	2524.27
012-2426-3538	4028.07
012-2426-3539	1309.67
012-2426-3540	2445.61
012-2426-3541	4041.54
012-2426-3542	2737.08
012-2426-3543	1005.83
012-2426-3544	2525.37
012-2426-3545	269.52
012-2426-3546	5310.50
012-2426-3547	5193.04
012-2426-3548	11046.60
012-2426-3549	9659.89
012-2426-3550	5620.20
012-2426-3551	1372.64
012-2426-3552	3763.39
012-2426-3553	2015.08
012-2426-3554	843.19
012-2426-3555	4017.02
012-2426-3556	4369.97
012-2426-3557	7644.56
012-2426-3558	757.03
012-2426-3559	3708.56
012-2426-3560	4609.06
012-2426-3561	3875.82
012-2426-3562	238.73
012-2426-3563	2971.20
012-2426-3564	4726.86
012-2426-3565	8359.10
012-2426-3566	3196.36
012-2426-3567	5342.84
012-2426-3568	8392.86
012-2426-3569	1236.26
012-2426-3570	911.2
012-2426-3571	4572.75
012-2426-3572	1418.58
012-2426-3573	3036.18
012-2426-3574	795.36
012-2426-3575	5876.03
012-2426-3576	1365.71
012-2426-3577	2883.41
012-2426-3578	4634.69
012-2426-3579	2258.00
012-2426-3580	7245.48
012-2426-3581	6247.17
012-2426-3582	5609.40
012-2426-3583	3776.78
012-2426-3584	4250.67
012-2426-3585	2862.11
012-2426-3587	2876.70
012-2426-3588	3453.64
012-2426-3590	3895.21
012-2426-3591	5556.87
012-2426-3592	5370.06
012-2426-3593	9994.59
012-2426-3595	4173.07
012-2426-3596	3880.36
012-2426-3597	3943.55
012-2426-3598	113.97
012-2426-3599	4469.60
012-2426-3600	3480.11
012-2426-3601	2736.63
012-2426-3602	6128.02
012-2426-3603	4920.75
012-2426-3604	8844.40
012-2426-3605	4759.28
012-2426-3606	271.91
012-2426-3607	4201.45
012-2426-3608	3513.23
012-2426-3609	6100.31
012-2426-3610	7234.31
012-2426-3611	3810.03
012-2426-3612	3889.15
012-2426-3613	5409.43
012-2426-3614	2509.47
012-2426-3615	6648.87
012-2426-3617	3189.07
012-2426-3618	4277.31
012-2426-3619	12344.55
012-2426-3620	2729.64
012-2426-3621	1774.86
012-2426-3622	2725.72
012-2426-3623	1340.92
012-2426-3624	3972.36
012-2426-3625	2236.16
012-2426-3626	2864.88
012-2426-3627	2810.89
012-2426-3628	3879.63
012-2426-3629	4855.73
012-2426-3630	2692.24
012-2426-3631	3260.96
012-2426-3632	3487.98
012-2426-3633	4187.15
012-2426-3634	2777.09
012-2426-3635	1959.18
012-2426-3636	415.91
012-2426-3637	5429.72
012-2426-3638	2706.83
012-2426-3640	32028.80
012-2426-3641	3364.83
012-2426-3642	923.38
012-2426-3643	5492.13
012-2426-3644	4972.17
012-2426-3645	4172.93
012-2426-3646	3350.77
012-2426-3647	2257.32
012-2426-3648	3937.44
012-2426-3649	3503.39
012-2426-3650	13817.87
012-2426-3651	4543.89
012-2426-3652	4966.55
012-2426-3653	3742.44
012-2426-3654	4581.03
012-2426-3655	1589.38
012-2426-3656	3225.83
012-2426-3657	5165.41
012-2426-3658	6818.33
012-2426-3659	4371.80
012-2426-3660	1917.18
012-2426-3661	2870.44
012-2426-3662	2015.13
012-2426-3663	4784.07
012-2426-3664	4727.06
012-2426-3665	2506.97
012-2426-3666	4474.31
012-2426-3667	3742.58
012-2426-3668	4072.21
012-2426-3669	4739.17
012-2426-3670	9691.43
012-2426-3671	5289.01
012-2426-3672	3818.31
012-2426-3673	3823.00
012-2426-3674	1769.53
012-2426-3675	1095.37
012-2426-3676	6448.01
012-2426-3677	3086.01
012-2426-3678	6892.21
012-2426-3679	1260.65
012-2426-3680	5624.39
012-2426-3681	1533.66
012-2426-3682	3712.28
012-2426-3683	2774.22
012-2426-3684	5668.93
012-2426-3685	759.38
012-2426-3686	3260.37
012-2426-3687	1753.68
012-2426-3688	5712.05
012-2426-3689	3980.64
012-2426-3690	3308.06
012-2426-3691	6050.17
012-2426-3692	3059.95
012-2426-3693	4254.98
012-2426-3694	1855.33
012-2426-3696	4296.69
012-2426-3697	2815.43
012-2426-3698	3074.62
012-2426-3699	1778.93
012-2426-3700	4073.83
012-2426-3701	4744.42
012-2426-3702	4016.02
012-2426-3703	2882.11
012-2426-3704	4599.78
012-2426-3705	3444.83
012-2426-3706	2843.45
012-2426-3707	8697.92
012-2426-3708	4299.26
012-2426-3709	4307.72
012-2426-3710	2354.91
012-2426-3712	3993.67
012-2426-3713	1356.50
012-2426-3714	3467.19
012-2426-3715	6556.98
012-2426-3716	1225.62
012-2426-3717	2319.09
012-2426-3718	5459.58
012-2426-3719	104.45
012-2426-3720	2581.93
012-2426-3721	4593.25
012-2426-3722	7937.28
012-2426-3723	9371.18
012-2426-3724	1315.56
012-2426-3725	7852.48
012-2426-3726	3598.78
012-2426-3727	1772.48
012-2426-3728	5829.81
012-2426-3729	1613.13
012-2426-3730	1963.38
012-2426-3731	2966.40
012-2426-3732	4760.20
012-2426-3733	2336.50
012-2426-3734	5163.34
012-2426-3735	1771.68
012-2426-3736	20623.31
012-2426-3737	15528.83
012-2426-3738	5661.59
012-2426-3739	1088.32
012-2426-3741	3836.47
012-2426-3742	3484.72
012-2426-3743	2369.95
012-2426-3744	5531.49
012-2426-3746	4717.09
012-2426-3747	2978.28
012-2426-3748	3947.98
012-2426-3749	8490.60
012-2426-3750	2600.27
012-2426-3751	5565.71
012-2426-3752	4846.78
012-2426-3753	1089.98
012-2426-3754	4874.32
012-2426-3755	4817.17
012-2426-3756	12964.07
012-2426-3757	2554.82
012-2426-3758	8765.32
012-2426-3759	5083.71
012-2426-3760	1856.83
012-2426-3761	8895.44
012-2426-3762	3528.98
012-2426-3763	1708.74
012-2426-3764	7645.76
012-2426-3765	4127.55
012-2426-3766	11897.35
012-2426-3767	5314.37
012-2426-3768	2885.13
012-2426-3769	1959.31
012-2426-3770	6878.27
012-2426-3771	4575.38
012-2426-3772	3807.34
012-2426-3773	4064.35
012-2426-3774	2511.40
012-2426-3775	10048.88
012-2426-3776	2554.09
012-2426-3777	5570.75
012-2426-3778	6003.22
012-2426-3779	2593.84
012-2426-3780	318.1
012-2426-3781	9471.20
012-2426-3784	5150.11
012-2426-3785	1589.50
012-2426-3786	5856.99
012-2426-3787	1392.72
012-2426-3788	3747.45
012-2426-3789	3729.36
012-2426-3791	4193.84
012-2426-3792	5917.16
012-2426-3793	4201.08
012-2426-3794	4521.81
012-2426-3795	8677.13
012-2426-3796	3410.97
012-2426-3797	5056.91
012-2426-3798	3964.56
012-2426-3799	3359.70
012-2426-3800	3562.56
012-2426-3803	3779.53
012-2426-3804	4742.67
012-2426-3805	1303.04
012-2426-3806	1679.73
012-2426-3807	5302.71
012-2426-3809	1983.58
012-2426-3810	1305.45
012-2426-3811	2826.17
012-2426-3812	6527.41
012-2426-3813	5944.82
012-2426-3814	7859.89
012-2426-3815	5366.73
012-2426-3816	2818.50
012-2426-3817	3560.02
012-2426-3818	7504.86
012-2426-3819	4091.76
012-2426-3820	5003.65
012-2426-3821	299.01
012-2426-3822	1992.46
012-2426-3823	867.96
012-2426-3824	2284.98
012-2426-3825	2412.60
012-2426-3826	7412.57
012-2426-3827	841.01
012-2426-3828	3867.63
012-2426-3829	4191.03
012-2426-3830	2087.28
012-2426-3831	2831.08
012-2426-3832	4791.05
012-2426-3833	4482.87
012-2426-3834	4577.27
012-2426-3835	4626.71
012-2426-3836	3625.10
012-2426-3837	4062.38
012-2426-3838	4691.78
012-2426-3839	3295.31
012-2426-3840	3257.79
012-2426-3841	4536.07
012-2426-3842	2479.79
012-2426-3844	9805.86
012-2426-3845	8988.96
012-2426-3846	898.17
012-2426-3847	640.46
012-2426-3848	3708.52
012-2426-3849	2164.73
012-2426-3850	5638.47
012-2426-3851	6304.43
012-2426-3852	3665.13
012-2426-3853	3476.70
012-2426-3854	2921.24
012-2426-3855	6205.67
012-2426-3856	6939.90
012-2426-3857	1046.38
012-2426-3858	3270.35
012-2426-3859	1104.29
012-2426-3860	4320.97
012-2426-3861	4158.84
012-2426-3862	4610.11
012-2426-3863	2622.90
012-2426-3864	4265.87
012-2426-3865	9624.42
012-2426-3866	3694.46
012-2426-3867	4313.59
012-2426-3868	2813.63
012-2426-3869	9356.95
012-2426-3870	11402.21
012-2426-3871	1302.46
012-2426-3872	5179.72
012-2426-3873	825.84
012-2426-3874	4487.17
012-2426-3875	598.33
012-2426-3876	3128.77
012-2426-3877	1042.21
012-2426-3878	3360.81
012-2426-3879	1157.46
012-2426-3880	1563.18
012-2426-3881	4030.94
012-2426-3882	3153.45
012-2426-3883	4321.66
012-2426-3884	7306.47
012-2426-3885	491.16
012-2426-3886	3274.60
012-2426-3887	817.37
012-2426-3888	3883.08
012-2426-3889	253.5
012-2426-3890	3854.82
012-2426-3891	6119.92
012-2426-3892	1717.06
012-2426-3893	3390.74
012-2426-3894	4211.20
012-2426-3895	2153.12
012-2426-3896	3613.08
012-2426-3897	12831.44
012-2426-3898	1821.52
012-2426-3899	3231.98
012-2426-3900	2358.97
012-2426-3902	5950.29
012-2426-3904	3791.80
012-2426-3905	2267.59
012-2426-3906	7461.73
012-2426-3907	664.23
012-2426-3908	2936.69
012-2426-3909	3464.56
012-2426-3910	5556.91
012-2426-3912	3513.93
012-2426-3914	9066.34
012-2426-3915	2846.40
012-2426-3916	4493.69
012-2426-3917	3870.10
012-2426-3918	5085.26
012-2426-3919	11236.17
012-2426-3920	1828.84
012-2426-3921	4597.52
012-2426-3922	1460.15
012-2426-3923	13102.40
012-2426-3924	6502.04
012-2426-3925	8642.54
012-2426-3926	1880.42
012-2426-3927	4377.88
012-2426-3929	5934.98
012-2426-3930	2682.10
012-2426-3931	2110.52
012-2426-3932	2570.04
012-2426-3933	3363.02
012-2426-3934	3315.98
012-2426-3935	3494.43
012-2426-3936	2795.83
012-2426-3938	4221.31
012-2426-3939	1758.17
012-2426-3940	4450.54
012-2426-3941	2932.33
012-2426-3942	3904.23
012-2426-3943	2409.41
012-2426-3944	2265.72
012-2426-3945	2145.06
012-2426-3946	3834.64
012-2426-3947	2908.85
012-2426-3948	5934.70
012-2426-3950	3210.26
012-2426-3952	4396.60
012-2426-3953	497.91
012-2426-3954	2567.67
012-2426-3955	3948.26
012-2426-3956	6545.22
012-2426-3957	3460.39
012-2426-3958	3657.26
012-2426-3959	3515.32
012-2426-3960	2862.79
012-2426-3961	1891.54
012-2426-3962	2721.89
012-2426-3963	2646.85
012-2426-3964	5046.89
012-2426-3965	7169.23
012-2426-3966	4512.60
012-2426-3968	1970.68
012-2426-3969	4125.13
012-2426-3970	3369.94
012-2426-3971	5820.11
012-2426-3972	7268.15
012-2426-3973	3986.39
012-2426-3975	2852.59
012-2426-3976	5467.91
012-2426-3977	4115.01
012-2426-3978	3199.00
012-2426-3979	6645.94
012-2426-3980	55.54
012-2426-3981	3621.60
012-2426-3982	3630.17
012-2426-3983	3726.63
012-2426-3984	4194.91
012-2426-3985	3592.44
012-2426-3986	2320.05
012-2426-3987	6869.78
012-2426-3989	2127.16
012-2426-3990	5762.51
012-2426-3991	1435.65
012-2426-3992	1520.37
012-2426-3993	2887.85
012-2426-3994	4444.44
012-2426-3995	2048.03
012-2426-3996	2009.52
012-2426-3997	4402.43
012-2426-3998	2686.08
012-2426-3999	8174.52
012-2426-4001	3350.63
012-2426-4002	8123.39
012-2426-4003	6850.60
012-2426-4005	3720.07
012-2426-4006	1961.00
012-2426-4007	3436.04
012-2426-4008	4582.51
012-2426-4009	9903.75
012-2426-4010	2021.40
012-2426-4011	6113.82
012-2426-4012	1055.52
012-2426-4014	3525.37
012-2426-4015	3110.58
012-2426-4016	8404.10
012-2426-4017	6147.77
012-2426-4018	6973.87
012-2426-4019	5926.01
012-2426-4020	3031.83
012-2426-4021	4128.98
012-2426-4022	4407.31
012-2426-4023	4487.99
012-2426-4024	5291.36
012-2426-4025	3468.58
012-2426-4026	3344.40
012-2426-4027	7920.03
012-2426-4028	1131.05
012-2426-4029	7272.47
012-2426-4030	10021.59
012-2426-4031	4873.23
012-2426-4032	13188.70
012-2426-4033	328.82
012-2426-4034	5314.63
012-2426-4035	7392.57
012-2426-4036	6398.60
012-2426-4037	5575.64
012-2426-4038	3157.00
012-2426-4039	6621.22
012-2426-4041	4184.70
012-2426-4042	4953.02
012-2426-4043	44456.75
012-2426-4044	4015.80
012-2426-4045	5219.57
012-2426-4046	3272.57
012-2426-4047	4520.68
012-2426-4048	8652.82
012-2426-4049	5274.14
012-2426-4050	5002.48
012-2426-4051	3342.08
012-2426-4052	11954.61
012-2426-4053	7220.70
012-2426-4054	1066.28
012-2426-4055	2126.39
012-2426-4056	6508.36
012-2426-4057	14102.68
012-2426-4058	4644.37
012-2426-4059	5501.21
012-2426-4060	5392.39
012-2426-4061	4147.46
012-2426-4062	9632.96
012-2426-4063	3117.38
012-2426-4064	5328.97
012-2426-4065	4319.86
012-2426-4066	2648.83
012-2426-4067	3103.71
012-2426-4068	2047.06
012-2426-4069	6107.24
012-2426-4070	4540.35
012-2426-4071	5146.63
012-2426-4072	17549.94
012-2426-4073	26404.40
012-2426-4074	403.29
012-2426-4075	13928.62
012-2426-4076	3966.99
012-2426-4077	4280.40
012-2426-4078	5500.96
012-2426-4079	4907.05
012-2426-4080	7293.33
012-2426-4082	4892.91
012-2426-4083	5137.90
012-2426-4084	3586.71
012-2426-4085	2369.35
012-2426-4086	7769.01
012-2426-4087	5652.22
012-2426-4088	4127.15
012-2426-4089	1702.39
012-2426-4090	16372.20
012-2426-4091	4660.41
012-2426-4092	6569.79
012-2426-4093	7536.61
012-2426-4094	4078.26
012-2426-4095	8271.63
012-2426-4096	5199.23
012-2426-4098	5184.91
012-2426-4099	4924.51
012-2426-4100	8197.48
012-2426-4101	1270.38
012-2426-4102	2226.19
012-2426-4103	6389.42
012-2426-4104	3407.40
012-2426-4105	5592.94
012-2426-4106	2972.90
012-2426-4107	4950.59
012-2426-4108	4636.43
012-2426-4109	3143.80
012-2426-4110	3597.97
012-2426-4112	4433.24
012-2426-4113	5430.74
012-2426-4115	4241.28
012-2426-4116	4977.12
012-2426-4117	2295.05
012-2426-4118	3189.89
012-2426-4119	5765.46
012-2426-4120	3425.87
012-2426-4121	2798.04
012-2426-4122	5248.02
012-2426-4123	2993.19
012-2426-4124	1417.70
012-2426-4125	1727.11
012-2426-4126	2498.40
012-2426-4127	2141.06
012-2426-4128	2339.21
012-2426-4129	6362.57
012-2426-4130	198.67
012-2426-4131	2529.63
012-2426-4132	3730.28
012-2426-4133	5858.24
012-2426-4134	1088.18
012-2426-4135	2592.68
012-2426-4136	5509.14
012-2426-4137	7631.77
012-2426-4138	925.44
012-2426-4139	3132.89
012-2426-4140	4126.87
012-2426-4142	3284.80
012-2426-4143	5779.37
012-2426-4144	2040.58
012-2426-4145	1126.08
012-2426-4146	2505.18
012-2426-4147	5721.39
012-2426-4148	2646.38
012-2426-4149	4245.11
012-2426-4150	2841.42
012-2426-4151	4022.27
012-2426-4152	2507.73
012-2426-4153	6837.79
012-2426-4154	1392.26
012-2426-4155	3319.96
012-2426-4156	5547.85
012-2426-4157	2669.56
012-2426-4158	5439.32
012-2426-4159	3609.85
012-2426-4160	2663.84
012-2426-4161	4975.82
012-2426-4162	386.88
012-2426-4164	1038.65
012-2426-4165	4766.15
012-2426-4166	5932.93
012-2426-4167	3228.00
012-2426-4168	2845.80
012-2426-4169	3879.73
012-2426-4171	906.78
012-2426-4173	2979.90
012-2426-4174	6804.77
012-2426-4175	4007.67
012-2426-4176	3726.17
012-2426-4177	4817.64
012-2426-4178	3598.60
012-2426-4179	2971.72
012-2426-4180	7856.14
012-2426-4181	4510.46
012-2426-4182	4379.16
012-2426-4183	416.57
012-2426-4184	5310.12
012-2426-4185	4752.52
012-2426-4186	8434.83
012-2426-4187	3267.47
012-2426-4188	5419.12
012-2426-4189	3019.27
012-2426-4190	3100.13
012-2426-4191	963.7
012-2426-4192	3485.45
012-2426-4193	1680.84
012-2426-4194	4752.38
012-2426-4195	4325.20
012-2426-4197	4860.61
012-2426-4198	2172.36
012-2426-4199	5016.20
012-2426-4200	3285.86
012-2426-4201	1517.85
012-2426-4202	2077.25
012-2426-4203	7778.65
012-2426-4204	2682.59
012-2426-4205	3477.56
012-2426-4206	1852.73
012-2426-4207	2888.40
012-2426-4208	3848.94
012-2426-4209	4538.81
012-2426-4210	2050.25
012-2426-4212	3981.20
012-2426-4213	1859.24
012-2426-4214	5835.17
012-2426-4215	2979.92
012-2426-4216	4246.85
012-2426-4217	2895.87
012-2426-4218	4654.17
012-2426-4219	2396.88
012-2426-4220	5791.87
012-2426-4221	3563.05
012-2426-4223	5461.92
012-2426-4225	7330.16
012-2426-4226	6412.20
012-2426-4227	5697.90
012-2426-4228	3959.04
012-2426-4229	2077.78
012-2426-4230	5959.72
012-2426-4231	7144.95
012-2426-4232	2519.40
012-2426-4233	3687.76
012-2426-4234	10296.52
012-2426-4235	3721.08
012-2426-4236	2969.92
012-2426-4237	6521.54
012-2426-4238	849.78
012-2426-4239	2712.17
012-2426-4240	2732.41
012-2426-4241	1954.26
012-2426-4243	10274.15
012-2426-4244	6121.52
012-2426-4245	13832.25
012-2426-4246	4688.43
012-2426-4247	7414.34
012-2426-4248	2097.45
012-2426-4249	5685.03
012-2426-4250	8987.30
012-2426-4251	2985.53
012-2426-4252	1895.60
012-2426-4253	3200.68
012-2426-4254	3508.45
012-2426-4255	3278.33
012-2426-4256	8165.20
012-2426-4257	4762.33
012-2426-4259	935.12
012-2426-4260	2996.46
012-2426-4261	5091.26
012-2426-4262	7183.36
012-2426-4263	1775.81
012-2426-4265	4823.97
012-2426-4266	2391.92
012-2426-4267	2971.74
012-2426-4268	6820.74
012-2426-4269	4281.18
012-2426-4270	2635.10
012-2426-4271	3206.45
012-2426-4272	5794.67
012-2426-4273	2214.40
012-2426-4274	9800.14
012-2426-4275	1797.85
012-2426-4276	6019.25
